AU,OG,TI,AB,DE,CR,BP_EP,PY,IS,LA,DI,SO,SN,URL,PDFURL,loc_arquivo,size
Tainá Dias Vicente,Programa de Pós-Graduação em Relações Internacionais San Tiago Dantas.,Non-Western International Relations Theory,"Resenha do Livro:Non-Western International Relations TheoryACHARA, A. & BUZAN, B. (Eds.). London:Routledge, 2010. ISBN:978-0-415-47474-0",Teoria das Relações Internacionais. Estudo das Relações Internacionais. Ocidente.,,225-234,2012,v. 1 n. 1 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/2079,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/2079/1138,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-13.pdf,295375
Marta Coelho Castro Troquez,UFMS; UFGD,Notas sobre a emergência do direito à educação diferenciada para indígenas no contexto mundial (1948-2007),"A partir do final dos anos 1970 aos anos 1980, no Brasil, houve intensa mobilização no campo indigenista em favor da garantia de direitos dos indígenas, entre eles o direito à diferença. Fez parte das reivindicações do movimento a proposição e efetivação de processos de escolaridade diferenciados. Tal mobilização culminou com a garantia de direitos coletivos relativos a questões territoriais, culturais, linguísticas, educativas, entre outras. Este trabalho parte do pressuposto de que as mobilizações no campo indigenista brasileiro contribuíram para as garantias legais em torno de processos de escolarização diferenciados para os indígenas, entretanto, procura mostrar que este processo faz parte de um movimento maior, circundado por ações, agentes e por documentos de agências internacionais. Neste sentido, procura apresentar a emergência do direito à educação diferenciada para indígenas no contexto mundial a partir da Declaração Universal dos Direitos Humanos em 1948 aos anos mais recentes (2007). Evidencia-se que as políticas públicas dos estados nacionais voltadas à questão da educação escolar indígena estão concatenadas às declarações, convênios e acordos de organismos internacionais.",Direitos indígenas. Educação diferenciada. Educação escolar indígena.,,235-256,2012,v. 1 n. 1 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/1708,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/1708/1132,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-14.pdf,322980
Henrique Tavares Furtado,,Contextualismo enquanto metafísica da presença: a desconstrução do historicismo crítico pós-estruturalista,"A teoria das Relações Internacionais foi influenciada pela filosofia contemporânea francesa das décadas de 1960 e 1970. Autores pós-estruturalistas como Walker, Thomson, Bartelson e Campbell buscaram contrapor a rígida ontologia neo-realista através da historiografia crítica e seu método contextualista. O presente artigo visa desconstruir a condição de possibilidade desse contextualismo – a oposição metafísica presente/passado – através da filosofia derridiana. Conclui-se que o contexto, enquanto uma categoria que representa o conjunto de acontecimento, regras linguísticas e estruturas epistêmicas presentes ao fenômeno estudado é logicamente inatingível tanto às abordagens sincrônicas estruturalistas quanto à lógica diacrônica do pós-estruturalismo.",Teoria das Relações Internacionais. Pós-Estruturalismo. Desconstrução. Historicismo.,,257-281,2012,v. 1 n. 1 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/1651,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/1651/1144,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-15.pdf,314104
Filipe Almeida do Prado Mendonça;Daniel Silva,UFU;UFU,Doha fora dos trilhos?  Desafios para a “nova” governança global e as especificidades do sistema GATT/OMC,"O presente ensaio tem por objetivo refletir sobre o papel dos Estados Unidos nas estruturas de governança global, com especial destaque para a estrutura GATT/OMC em perspectiva histórica. Afirma-se que o mainstream dos autores que trabalham com Governança Global não nos ajudam a captar a essência do problema: o papel central dos Estados Unidos nos regimes multilaterais de comércio e o papel central que estes arranjos ocupou (e ainda ocupa) no projeto de poder deste país, gerando importantes distorções. A hipótese deste ensaio é que a literatura sobre Governança Global ignora as especificidades do sistema GATT-OMC, o que abre possibilidades para que se cometam alguns equívocos na interpretação do funcionamento deste regime. Concluí-se que a Rodada Doha não está fora dos trilhos, mas caminha fortemente dentro de um padrão historicamente institucionalizado.",Governança Global. Estados Unidos. GATT. Rodada Doha.,,282-321,2012,v. 1 n. 1 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/2081,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/2081/1141,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-16.pdf,328582
Oliveiros Silva Ferreira,PUC SP,Conferência de abertura do V Encontro de Estudos da Realidade Brasileira promovido pelo POLITHICULT/PUC-SP de 10 a 12 de Setembro de 2012 - “O Brasil e a Segunda Guerra: 70 anos depois”,,Política externa brasileira. Segunda Guerra Mundial. Conflito.,,7-18,2012,v. 1 n. 2 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/2112,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/2112/1329,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-2-04.pdf,244682
André Luiz Reis da Silva,UFRGS,Entrevista com o Professor Dr. André Luiz Reis da Silva (UFRGS),"Entrevista do Prof. Dr. André Luiz Reis da Silva, professor Adjunto no Curso de Graduação em Relações Internacionais e de Pós-Graduação stricto sensu em ciência Política e Estudos Estratégicos da Universidade Federal do Rio Grande do Sul. É editor da Revista Conjuntura Austral. A entrevista foi concedida durante sua participação na II Semana Acadêmica de Relações Internacionais da UFGD.",Política Externa Brasileira. MERCOSUL. Relações Internacionais.,,19-23,2012,v. 1 n. 2 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/2304,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/2304/1331,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-2-05.pdf,149781
Shiguenoli Miyamoto,UNICAMP,O Brasil e a Bacia do Prata: interesses e divergências,"A Bacia do Prata sempre foi importante para a política externa brasileira. Entretanto, desde a formação do MERCOSUL, têm ocorrido inúmeras divergências entre seus membros. Nos últimos anos, a integração regional não mereceu a devida atenção do Brasil. Com o governo Dilma, quais as tendências que se podem esperar? O Brasil tem demandas e expectativas que ultrapassam o espaço regional sul-americano. O objetivo deste texto é discutir as perspectivas da política brasileira para a região, dentro do contexto cada vez mais competitivo que se observa na arena internacional.",política externa brasileira. integração regional. Bacia do Prata. América do Sul.,,24-39,2012,v. 1 n. 2 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/2183,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/2183/1332,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-2-06.pdf,322131
Paulo Roberto Almeida,"Ministério das Relações Exteriores, Uniceub",Uma grande estratégia para o Brasil: elementos propositivos,"Considerações sobre elementos propositivos que poderiam ser incluídos numa proposta de grande estratégia para o Brasil, centrada na elevação dos padrões de produtividade do capital humano e na plena inserção internacional do Brasil, com ênfase na atuação prioritária no contexto regional.",Brasil. estratégia. produtividade. Relações Internacionais.,,40-51,2012,v. 1 n. 2 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/1950,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/1950/1333,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-2-07.pdf,256531
Carlos Eduardo Riberi Lobo,UNIFAI,Forças Armadas e Relações Internacionais no Cone Sul.,"O presente trabalho parte da hipótese de que a modernização técnica e doutrinária das Forças Armadas dos países do Cone Sul, Argentina, Brasil, Chile, Paraguai e Uruguai, a partir da Segunda Guerra Mundial, não ocorreu com apoio exclusivamente norte americano. A presença europeia, com destaque para as indústrias bélicas, forças armadas e diplomacia da França, Alemanha, Reino Unido, Itália e Espanha, ganharam importância nas últimas quatro décadas, rivalizando com os EUA. Outro fornecedor relevante, mas pouco lembrado é Israel que sempre viu na América do Sul um mercado para a sua indústria bélica. Depois do fim da Guerra Fria a Rússia também conseguiu um papel ativo nesse contexto.",Forças Armadas. Relações Internacionais. Cone Sul.,,52-66,2012,v. 1 n. 2 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/2180,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/2180/1334,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-2-08.pdf,291189
Alexandre César Cunha Leite,UEPB,Cooperação Sul-Sul e desenvolvimento integrado como diretrizes da política externa brasileira: uma análise do plano de ação conjunta Brasil-China,"No ano de 2009, em uma visita do então presidente Luiz Inácio Lula da Silva à China, foi apresentado pelo então presidente brasileiro e o presidente da República Popular da China, Hu Jintao, o Plano de Ação Conjunta entre o governo da República Federativa do Brasil e o governo da República Popular da China, 2010-2014. Trata-se de um plano ambicioso, denso e amplo, que parte do macro para o micro, buscando fundamentar e organizar a relação entre Brasil e China no cenário internacional, focado na cooperação entre as nações e na coordenação de suas ações em temas de interesse mútuo em âmbito local, regional e global. O texto do Plano de Ação Conjunta segue as diretrizes de política externa brasileira, contudo, privilegia a relação bilateral entre Brasil e China, dentro de um cenário global político e econômico incerto. O artigo ora apresentado tem como objetivo visualizar, à luz do texto do Plano de Ação Conjunta, estratégias e ações direcionadas à cooperação entre as nações que tem como núcleo o desenvolvimento mútuo. O plano segue, na sua concepção uma proposta de cooperação Sul-Sul, de modo bilateral, onde o desenvolvimento é resultado da integração das ações políticas e econômicas das nações ordenadas de forma estratégicas.",Cooperação Sul-Sul. Relações Brasil-China. Plano de Ação Conjunta Brasil-China.,,67-85,2012,v. 1 n. 2 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/2196,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/2196/1335,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-2-09.pdf,419432
